Index,CloneDirectory,Language,Code1,Percentage1,Code2,Percentage2
215,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/AndroidProcess_215,not english,vi,85.7,no,14.3
223,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/Android-Skin-Loader_223,mixed,en,85.7,no,14.3
225,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/springmvc-mybatis-learning_225,not english,no,100.0,,
234,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/NineGridView_234,mixed,no,85.7,en,14.3
245,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/gremlin_245,unknown,,,,
247,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/spring-data-jpa_247,unknown,,,,
253,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/sshj_253,unknown,,,,
254,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/JavaGuide_254,mixed,vi,42.9,en,42.9
255,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/advanced-java_255,mixed,no,42.9,en,42.9
257,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/proxyee-down_257,not english,zh-cn,71.4,no,14.3
259,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/vhr_259,mixed,no,42.9,en,42.9
261,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/easyexcel_261,not english,zh-cn,100.0,,
262,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/litemall_262,not english,zh-cn,100.0,,
264,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/QMUI_Android_264,not english,zh-cn,100.0,,
270,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/paascloud-master_270,not english,zh-cn,85.7,ko,14.3
274,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/DataX_274,mixed,en,85.7,no,14.3
276,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/mall-learning_276,mixed,en,85.7,no,14.3
278,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/MyBookshelf_278,not english,zh-cn,100.0,,
281,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/CircleDemo_281,not english,zh-cn,100.0,,
291,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/Cknife_291,unknown,,,,
299,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/ApiManager_299,not english,ca,100.0,,
